計算過程,1つ目,2つ目,3つ目,4つ目,41662つ目,41663つ目,41664つ目
1. 計算前の値,,0000000000000000000000000000000000000000000000000000000000000111,0000000000000000000000000000000000000000000000000000000000001011,0000000000000000000000000000000000000000000000000000000000001101,1100010000000000000000000000000000000000000000000000000000000000,1100100000000000000000000000000000000000000000000000000000000000,1101000000000000000000000000000000000000000000000000000000000000
2. x &= MASK_64,,0000000000000000000000000000000000000000000000000000000000000111,0000000000000000000000000000000000000000000000000000000000001011,0000000000000000000000000000000000000000000000000000000000001101,1100010000000000000000000000000000000000000000000000000000000000,1100100000000000000000000000000000000000000000000000000000000000,1101000000000000000000000000000000000000000000000000000000000000
3. u = x & -x,,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000001,0000010000000000000000000000000000000000000000000000000000000000,0000100000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000
4. x + u,,0000000000000000000000000000000000000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000001100,0000000000000000000000000000000000000000000000000000000000001110,1100100000000000000000000000000000000000000000000000000000000000,1101000000000000000000000000000000000000000000000000000000000000,1110000000000000000000000000000000000000000000000000000000000000
5. v = (x + u) & MASK_64,,0000000000000000000000000000000000000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000001100,0000000000000000000000000000000000000000000000000000000000001110,1100100000000000000000000000000000000000000000000000000000000000,1101000000000000000000000000000000000000000000000000000000000000,1110000000000000000000000000000000000000000000000000000000000000
6. v ^ x,,0000000000000000000000000000000000000000000000000000000000001111,0000000000000000000000000000000000000000000000000000000000000111,0000000000000000000000000000000000000000000000000000000000000011,0000110000000000000000000000000000000000000000000000000000000000,0001100000000000000000000000000000000000000000000000000000000000,0011000000000000000000000000000000000000000000000000000000000000
7. (v ^ x) & MASK_64,,0000000000000000000000000000000000000000000000000000000000001111,0000000000000000000000000000000000000000000000000000000000000111,0000000000000000000000000000000000000000000000000000000000000011,0000110000000000000000000000000000000000000000000000000000000000,0001100000000000000000000000000000000000000000000000000000000000,0011000000000000000000000000000000000000000000000000000000000000
8. ((v ^ x) & MASK_64) >> 2,,0000000000000000000000000000000000000000000000000000000000000011,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0000001100000000000000000000000000000000000000000000000000000000,0000011000000000000000000000000000000000000000000000000000000000,0000110000000000000000000000000000000000000000000000000000000000
9. (((v ^ x) & MASK_64) >> 2) // u,,0000000000000000000000000000000000000000000000000000000000000011,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
10. ((((v ^ x) & MASK_64) >> 2) // u) | v,0000000000000000000000000000000000000000000000000000000000000111,0000000000000000000000000000000000000000000000000000000000001011,0000000000000000000000000000000000000000000000000000000000001101,0000000000000000000000000000000000000000000000000000000000001110,1100100000000000000000000000000000000000000000000000000000000000,1101000000000000000000000000000000000000000000000000000000000000,1110000000000000000000000000000000000000000000000000000000000000
