世代,推定状態数,推定状態数(単位),10の何乗か,計測時間
1,1920,1920,3,0s
2,113280,11万3280,5,0s
3,4380160,438万0160,6,0s
4,124834560,1億2483万4560,8,0s
5,2796294144,27億9629万4144,9,0s
6,51265392640,512億6539万2640,10,0s
7,790951772160,7909億5177万2160,11,0s
8,10480110981120,10兆4801億1098万1120,13,0s
9,121103504670720,121兆1035億0467万0720,14,0s
10,1235255747641344,1235兆2557億4764万1344,15,0s
11,11229597705830400,1京1229兆5977億0583万0400,16,0s
12,91708381264281600,9京1708兆3812億6428万1600,16,0s
13,677231123182387200,67京7231兆1231億8238万7200,17,0s
14,4547123255653171200,454京7123兆2556億5317万1200,18,0s
15,27889022634672783360,2788京9022兆6346億7278万3360,19,0s
16,156875752320034406400,1垓5687京5752兆3200億3440万6400,20,0s
17,812062717891942809600,8垓1206京2717兆8919億4280万9600,20,0s
18,3879855207705948979200,38垓7985京5207兆7059億4897万9200,21,0s
19,17153044076173669171200,171垓5304京4076兆1736億6917万1200,22,0s
20,70327480712312043601920,703垓2748京0712兆3120億4360万1920,22,0s
21,267914212237379213721600,2679垓1421京2237兆3792億1372万1600,23,0s
22,949877661568889939558400,9498垓7766京1568兆8899億3955万8400,23,0s
23,3138726186053723278540800,3秭1387垓2618京6053兆7232億7854万0800,24,0s
24,9677739073665646775500800,9秭6777垓3907京3665兆6467億7550万0800,24,0s
25,27871888532157062713442304,27秭8718垓8853京2157兆0627億1344万2304,25,0s
26,75039699894269014997729280,75秭0396垓9989京4269兆0149億9772万9280,25,0s
27,188988873807788630364651520,188秭9888垓7380京7788兆6303億6465万1520,26,0s
28,445473773975501771573821440,445秭4737垓7397京5501兆7715億7382万1440,26,0s
29,983114535670072875197399040,983秭1145垓3567京0072兆8751億9739万9040,26,0s
30,2031770040384817275407958016,2031秭7700垓4038京4817兆2754億0795万8016,27,0s
31,3932458142680291500789596160,3932秭4581垓4268京0291兆5007億8959万6160,27,0s
32,7127580383608028345181143040,7127秭5803垓8360京8028兆3451億8114万3040,27,0s
33,12095287923698472343337697280,1穣2095秭2879垓2369京8472兆3433億3769万7280,28,0s
34,19210163172932867839418695680,1穣9210秭1631垓7293京2867兆8394億1869万5680,28,0s
35,28540813856928832218564919296,2穣8540秭8138垓5692京8832兆2185億6491万9296,28,0s
36,39640019245734489192451276800,3穣9640秭0192垓4573京4489兆1924億5127万6800,28,0s
37,51424889832304202195612467200,5穣1424秭8898垓3230京4202兆1956億1246万7200,28,0s
38,62251182428578771078899302400,6穣2251秭1824垓2857京8771兆0788億9930万2400,28,0s
39,70232103252755536601835110400,7穣0232秭1032垓5275京5536兆6018億3511万0400,28,0s
40,73743708415393313431926865920,7穣3743秭7084垓1539京3313兆4319億2686万5920,28,0s
41,71945081380871525299440844800,7穣1945秭0813垓8087京1525兆2994億4084万4800,28,0s
42,65093168868407570509017907200,6穣5093秭1688垓6840京7570兆5090億1790万7200,28,0s
43,54496606494480756705224294400,5穣4496秭6064垓9448京0756兆7052億2429万4400,28,0s
44,42111014109371493817673318400,4穣2111秭0141垓0937京1493兆8176億7331万8400,28,0s
45,29945610033330840048123248640,2穣9945秭6100垓3333京0840兆0481億2324万8640,28,0s
46,19529745673911417422689075200,1穣9529秭7456垓7391京1417兆4226億8907万5200,28,0s
47,11634742103606801868836044800,1穣1634秭7421垓0360京6801兆8688億3604万4800,28,0s
48,6302151972787017678952857600,6302秭1519垓7278京7017兆6789億5285万7600,27,0s
49,3086768313201804577446297600,3086秭7683垓1320京1804兆5774億4629万7600,27,0s
50,1358178057808794014076370944,1358秭1780垓5780京8794兆0140億7637万0944,27,0s
51,532618846199527064343674880,532秭6188垓4619京9527兆0643億4367万4880,26,0s
52,184368062145990137657425920,184秭3680垓6214京5990兆1376億5742万5920,26,0s
53,55658282911997022689034240,55秭6582垓8291京1997兆0226億8903万4240,25,0s
54,14429925199406635511971840,14秭4299垓2519京9406兆6355億1197万1840,25,0s
55,3148347316234175020793856,3秭1483垓4731京6234兆1750億2079万3856,24,0s
56,562204877898959825141760,5622垓0487京7898兆9598億2514万1760,23,0s
57,78905947775292607037440,789垓0594京7775兆2926億0703万7440,22,0s
58,8162684252616476590080,81垓6268京4252兆6164億7659万0080,21,0s
59,553402322211286548480,5垓5340京2322兆2112億8654万8480,20,0s
60,18446744073709551616,1844京6744兆0737億0955万1616,19,0s
